Portuguese (original),American English,Latin Spanish,African French,German,Turkish,Type,Class,Hate Target
bosta ambulante,walking piece of shit,basura andante,merde ambulante,wandelndes Stück Scheiße,yürüyen bok,swear words,1,0
sargeta,rock bottom,alcantarilla,le fond du baril,Tiefpunkt,kanalizasyon,offensive,0,0
sarjeta,rock bottom,alcantarilla,le fond du baril,Tierfpunkt,kanalizasyon,offensive,0,0
micropenis,micropenis,micropene,micropénis,Mini-Penis,küçük penis,offensive,1,0
esquerdolândia,libland,izquierdolandia,libellule,0,sol ülke,offensive/Brazil,1,partyism
judeu do inferno,jews from hell,judeo del infierno,les juifs de l'enfer,Juden aus der Hölle ,cehennem yahudisi,swear words,1,antisemitism
caquético,in shambles,en ruinas,en ruine,0,karman çorman,offensive,0,0
caquética,in shambles,en ruinas,en ruine,0,karman çorman,offensive,0,0
caduco,crazy,caduco,fou,verrückt,üşütük,offensive,1,0
caduca,crazy,caducar,fou,verrückt,üşütük,offensive,1,0
misógino,misogynist ,misógino,misogyne ,Frauenhasser / Misogyn,kadın düşmanı,offensive,1,0
pedófilo,pedophile,pedófilo,pédophile,Pädophil,sübyancı,offensive,1,0
decrépito,ramshackle,decrépito,déglingué,0,harap,offensive,0,0
depravado,degenerate,depravado,dégénéré,0,sapık,offensive,1,0
boca suja,dirty mouth,boca sucia,bouche sale,0,ağzı pis,offensive,0,0
esclerosado,fucked up,esclerosado,défoncé,fucked up,sıçmak,offensive,0,0
esclerosada,fucked up,esclerosada,défoncé,fucked up,sıçmak,offensive,0,0
caducar,go crazy,caducar,devenir fou,verrückt werden,süresi geçmek,offensive,1,0
cínico,cynical,cínico,cynique,zynisch,çıkarcı,offensive,1,0
cínica,cynical,cínica,cynique,zynisch,çıkarcı,offensive,1,0
devasso,perv,libertino,pervers,Perverser,ahlaksız,offensive,1,0
devassa,perv,libertina,pervers,Perverser,ahlaksız,offensive,1,0
sequelado,sick,enfermo,malade,krank,bitkisel hayattaki kimse,offensive,0,0
sequelada,sick,enferma,malade,krank,bitkisel hayattaki kimse,offensive,0,0
débil mental,retard,débil mental,Attardé,behindert,iradesiz,offensive,1,0
tarado,perv,tarado,pervers,Perverser,cinsel sapık,offensive,1,0
tarada,perv,tarada,pervers,Perverser,cinsel sapık,offensive,1,0
canastrão,thug,0,voyou,Betrüger,dolandırıcı,offensive,1,0
escrotissimo,hell of a fucker,0,un sacré enfoiré,0,lanet olası bir piç,offensive,1,0
perverso,mean,perverso,moyenne,Perverser,çarpık,offensive,1,0
perversa,perv,perversa,pervers,Perverser,çarpık,offensive,1,0
pé na bunda,(to get) dumped,patada en el culo,(se) faire larguer,sitzengelassen werden,kıçına tekmeyi yemek,offensive,1,0
senilidade,oldy,senalidad,vieux site,0,bunaklık,offensive,0,0
eca,yuck,que asco,beurk,ew,iğrenç,offensive,0,0
pevertido,perv,pervertido,pervers,Perverser,sapık,offensive,1,0
pevertida,perv,pervertida,pervers,Perverser,sapık,offensive,1,0
show de horror,freakshow,espectáculo de horror,foire aux monstres,Freak,tuhaf gösteri,offensive,1,0
miserável,miserable,miserable,Misérable,miserabel,içler acısı,offensive,1,0
sórdido,sordid,sórdido,sordide,schmutzig,aşağılık,offensive,1,0
sórdida,sordid,sórdida,sordide,schmutzig,aşağılık,offensive,1,0
jornazista,nazi journalist,periodista nazi,journaliste nazi,Nazi Journalist,nazi gazeteci,offensive,1,antisemitism
judas,traitor,judas,traître,Judas,hain,offensive,0,0
abjeto,abject,abyecto,abject,verächtlich,aşağılık,offensive,1,0
troglodita,jerk,troglodita,abruti,Idiot,ilkel insan,offensive,1,0
lúcifer,Lucifer,lúcifer,Lucifer,Luzifer,Lucifer,offensive,0,0
meia tigela,second handed,pacotilla,deuxième main,0,şarlatan doktor,offensive,0,0
meia-tigela,second handed,pacotilla,deuxième main,0,şarlatan doktor,offensive,0,0
cristofobico,Christophobe,cristianofobia,Chrysophobe,Christen-Hass,,offensive,1,0
impressa marron,yellow press,0,presse jaune,0,0,offensive,1,0
balbúrdia,fuckery,alboroto,connerie,Puff,yaygara,offensive,1,0
engulho,barf,0,vomir,kotzen,mide bulandırıcı,offensive,1,0
estuprador,rapist,violador,violeur,Vergewaltiger,tecavüzcü,offensive,1,0
mal amada,poorly fucked,sin amor,mal baisé,schlecht gefickt worden,kötü sikilmiş,offensive,1,sexism
mal amado,poorly fucked,sin amor,mal baisé,schlecht gefickt worden,kötü sikilmiş,offensive,1,0
quinta categoria,second handed,quinta categoria,deuxième main,0,aşağılık,offensive,0,0
endemoniado,posessed,endemoniado,possédé,besessen,sinir bozucu,offensive,1,0
porco,pig,puerco,cochon,Schwein,domuz,offensive,0,0
imbecilidade,imbecile,imbecilidad,imbecile,Dummkopf,embesillik,offensive,1,0
perversidade,wickedness,perversidad,méchanceté,Bosheit,yaramazlık,offensive,1,0
asneira,dumb shit,asno,merdeux,dummes stück scheiße,saçmalık,offensive,1,0
malfeitor,con,malhechor,0,betrügerisch,maganda,offensive,1,0
mal feitor,con,malhechor,0,betrügerisch,maganda,offensive,1,0
covarde,coward,cobarde,lâche,Feigling,korkak,offensive,1,0
bicha,fag,maricón,tapette,Schwuchtel,ibne,offensive,1,homophobia
bicha enrustida,closeted faggot,marica no declarado,pédé fermé,Schwuchtel (nicht geoutet),gizli ibne,swear words,1,homophobia
louco de pedra,batshit crazy,loco de piedra,fou à lier,verrückt,manyak,offensive,1,0
doido de pedra,batshit crazy,loco de piedra,fou à lier,verrückt,manyak,offensive,1,0
vandalismo,vandalism,vandalismo,vandalisme,Vandalismus,vandallık,offensive,1,0
cara lavada,cynical,cínico,cynique,zynisch,alaycı,offensive,0,0
cara-lavada,cynical,cínico,cynique,zynisch,alaycı,offensive,0,0
frustrado,frustrated,frustrado,frustré,frustriert,hayal kırıklığına uğramış,offensive,1,0
revoltado,revolted,revuelto,révolté,0,asi,offensive,1,0
déspota,tyrant,déspota,tyran,Tyrann,zorba,offensive,1,0
demiurgo,demiurge,demiurgo,démiurge,0,0,offensive,0,0
satânico,satanist,satánico,sataniste,Satanist,şeytani,offensive,1,0
aberração,freak,aberración,monstre,Freak,ucube,offensive,1,0
falastrão,obnoxious / loudmouth,charlatán,odieux / grande gueule,widerlich,geveze,offensive,1,0
desgraçado,fucker,desgraciado,enculé,Fucker,piç,offensive,1,0
desgraçada,fucker,desgraciada,enculé,Frucker,piç,offensive,1,0
diabólico,devilsh,diabólico,diabolique,teuflisch,şeytanca,offensive,1,0
diabólica,devilish,diabólica,diabolique,teuflisch,şeytanca,offensive,1,0
venenoso,shady,venenoso,ombragé,zwielichtig,alaycı,offensive,0,0
venenosa,shady,venenosa,ombragé,zwielichtig,alaycı,offensive,0,0
demoníaco,devilish,demoníaco,diabolique,teuflisch,şeytanca,offensive,1,0
cruzes,yikes,cruzes,oups,ew,ıyy,offensive,0,0
cruz-credo,yikes,cruz-credo,oups,ew,ıyy,offensive,1,0
cruz credo,yikes,cruz-credo,oups,ew,ıyy,offensive,1,0
desequilibrado,crazy,desequilibrado,fou  ,Verrückt,dengesiz,offensive,0,0
desequilibrada,hysterical,desequilibrada,hystérique,hysterisch,dengesiz,offensive,0,sexism
lulalouco,0,lulaloco,0,0,0,offensive/Brazil,1,partyism
militante vermelho,commie,militante rojo,0,0,kızıl militan,offensive/Brazil,1,partyism
incendiário,arsonist,incendiario,pyromane,0,kundakçı,offensive,1,0
artomentar,to piss off,atormentar,pour faire chier,Verpiss dich,eziyet etmek,offensive,1,0
excremento,piece of shit,excremento,tas de merde,Stück scheiße,bok,swear words,0,0
imundície,dirtbag,inmundicia,sac à merde,Drecksack,müstehcenlik,offensive,0,0
desordeiro,brawler,alborotador,bagarreur,Schläger,intizamsız,offensive,1,0
desordeira,brawler,alborotador,bagarreur,Schläger,intizamsız,offensive,1,0
carniça,rotten,carroña,pourri,verfault,leş,offensive,1,0
encardido,dirtbag,mugriento,sac à merde,Drecksack,kirli,offensive,0,0
embusteiro,troublemaker,embustero,fauteur de troubles,Störenfried,başbelası,offensive,1,0
podridão,rotten,pobredumbre,pourri,verfault,kötü ortam,offensive,0,0
capeta,devil,diablo,diable,Teufel,şeytan,offensive,0,0
gay enrustido,closeted faggot,gay reprimido,faggotte fermée,Schwuchtel (nicht geoutet),gizli eşcinsel,offensive,1,homophobia
charlatão,con man,charlatán,escroc,0,şarlatan,offensive,1,0
desgoverno,misgovernment,desgobierno,mal gouvernance,0,kötü yönetim,offensive,1,0
sepulcro caiado,whitewashed tomb,sepulcro blanqueado,tombeau blanchi à la chaux,0,dışı güzel içi çürük,offensive,1,0
satã,satan,satanás,satan,Satan,şeytan,offensive,0,0
falso moralista,fake moralist,falso moralista,faux moralisateur,0,sahte ahlakçı,offensive,1,0
capiroto,devil,diablo,diable,Teufel,şeytan,offensive,0,0
de meia tijela,second-rate,barato,de second ordre,0,ikinci sınıf,offensive,1,0
incauto,reckless,incauto,téméraire,leichtsinnig,dikkatsiz,offensive,1,0
crente do cú quente,religiously fucker,creyente de culo caliente,baiseur religieux,religiöser Spast,dini olarak iki yüzlü,offensive,1,religious intolerance
crente do rabo quente,religiously fucker,creyente de rabo caliente,baiseur religieux,religiöser Spast,dini olarak iki yüzlü,offensive,1,religious intolerance
pastor de hiena,lion shepard,pastor de hiena,bâtard de lion,0,sırtlan çobanı,offensive,1,religious intolerance
fariseu,pharisian / traitor,fariseo,pharisien / traître,Verräter,hain,offensive,0,0
maricona,pussy,maricona,minou/chatte,Pussy,0,offensive,1,0
pastor do cao,fucking shepard,pastor de perro,putain de bâtard,0,kahrolası çoban,offensive,1,religious intolerance
hipocristão,hypochristian,hipocristiano,hypocrite,0,iki yüzlü,offensive,1,religious intolerance
cramunhão,Satan,satanás,Satan,Satan,şeytan,offensive,1,0
endiabrado,vile,endemoniado,ignoble,gemein,şeytani,offensive,1,0
pestilento,sick,apestoso,malade,krank,vebalı,offensive,1,0
gângster,gangster,gangster,gangster,Gangster,gangster,offensive,1,0
facínora,crook,facineroso,escroc,Ganove,maganda,offensive,1,0
pária,pariah,paria,paria,0,dışlanmış kimse,offensive,0,0
corno,cuck / cuckold,cachudo,cocufié,0,deyyus,offensive,1,0
corna,cuck / cuckold,cachuda,cocufié,0,deyyus,offensive,1,0
bichona,faggot,maricón,pédé,Schwuchtel  ,nonoş,offensive,1,homophobia
enrustiano,closeted faggot,reprimido,pédé caché,Schwuchtel (nicht geoutet),gizli ibne,offensive,1,homophobia
pateta,dumb,tonto,stupide,dumm,aptal,offensive,0,0
perdedor,loser,perdedor,perdant,Loser,işe yaramaz,offensive,0,0
lástima,pitty,lástima,pitoyable,schade,acınası,offensive,0,0
múmia,mummy,momia,maman.,0,mumya,offensive,0,0
arruínado,damned,arruinado,maudit,verdammt,bombok,offensive,0,0
arruínada,damend,arruinada,damné,verdammt,bombok,offensive,0,0
traidora,traitor,traidora,traître,Verräter,ispiyoncu,offensive,1,0
birrento,petty,insignificante,petit,kleinlich,mızmızlanan,offensive,1,0
birrenta,petty,insignificante,petit,kleinlich,mızmızlanan,offensive,1,0
perigoso,dangerous,peligroso,dangereux,gefährlich,tehlikeli,offensive,0,0
perigosa,dangerous,peligrosa,dangereux,gefährlich,tehlikeli,offensive,0,0
megera,bitch,perra,salope,Schlampe,şıllık,offensive,1,0
subserviente,submissive,sumiso,soumis,unterwürfig,sineye çekmek,offensive,0,0
esdrúxulo,abnormal,extravagante,anormal,unnormal,çatlak,offensive,1,0
esdrúxula,abnormal,extravagante,anormal,unnormal,çatlak,offensive,1,0
fraude,fraud,fraude,fraude,Betrug,hile,offensive,1,0
raio que o parta,the hell with you,que te parta un rayo,Va te faire voir !,zur Hölle mit dir,lanet olsun,swear words,1,0
surtado,freaked out,asustado,paniqué,durchgeknallt,korkmuş,offensive,1,0
surtada,freaked out,asustado,paniqué,durchgeknallt,korkmuş,offensive,1,0
maldoso,mean,malvado,moyenne,gemein,ahlaksız,offensive,1,0
maldosa,mean,malvada,moyenne,gemein,ahlaksız,offensive,1,0
víbora,viper,vibora,vipère,Schlange,hain,offensive,0,0
roliça,hogbody,rolliza,corps de porc,0,tombul,offensive,0,fatphobia
roliço,hogbody,rollizo,corps de porc,0,tombul,offensive,0,fatphobia
surtando,freaking out,enloqueciendo,flipper,ausrasten,delirmek,offensive,0,0
derrotado,loser,derrotado,perdant,Loser,yenik,offensive,0,0
derrotada,loser,derrotada,perdant,Loser,yenik,offensive,0,0
decadente,decadent,decadente,décadent,0,ahlaksız,offensive,0,0
feminazis,feminazi,femenazis,0,Femnazi,aşırı feminist,offensive,1,sexism
macumbeira,witch / voodoo witch,brujería,sorcière / sorcière vaudou,Hexe / Voodoo Tante,cadı,offensive,0,religious intolerance
macumbeiro,witch / voodoo witch,brujerío,sorcière / sorcière vaudou,Hexe / Voodoo Tante,cadı,offensive,0,religious intolerance
encosto,evil presence,presencia maligna,présence maléfique,Böse Präsenz,kötü varlık,offensive,0,0
fuleiro,wretched,0,misérable,erbärmlich,sefil,offensive,1,0
coiso,beast,bestia,bête,Bestie,gudubet,offensive,1,0
narcotraficante,drug dealer,narcotraficante,vendeur de drogues,Drogendealer,torbacı,offensive,1,0
trabalhominions,0,trabajominions,0,0,0,offensive/Brazil,1,partyism
bolsotário,0,bolsotario,0,0,0,offensive/Brazil,1,partyism
se ferrar,fuck off,irse a la mierda,Dégagez,fuck off,siktir git,swear words,1,0
embuste,trouble,estafa,trouble,Schwierigkeit,yolsuz,offensive,1,0
repuginante,repulsive,repugnante,répulsif,abstoßend,iğrenç,offensive,1,0
coxinha,elitist,0,élitiste,0,elitizm savunan,offensive,0,0
insensato,unreasonable,insensato,déraisonnable,unvernünftig,mantıksız,offensive,1,0
insensata,unreasonable,insensata,déraisonnable,unvernünftig,mantıksız,offensive,1,0
vermelhada,commies / libtards,comunistas,communistes / libéraux,0,0,offensive/Brazil,0,partyism
rabo,ass,rabo,cul,Arsch,göt,offensive,0,0
bozonaro,0,bozonaro,0,0,0,offensive/Brazil,1,partyism
robô,robot,robot,robot,Roboter ,robot,offensive,0,0
robozinho,little robot,robotcito,petit robot,kleiner Roboter,küçük robot,offensive,0,0
ditador,dictator,dictador,dictateur,Diktator,diktatör,offensive,0,0
presunçoso,smug,presumido,0,selbstgefällig,küstah,offensive,1,0
desocupado,useless,desocupado,inutile,nutzlos,aylak,offensive,0,0
desocupada,useless,desocupada,inutile,nutzlos,aylak,offensive,0,0
fedelho,prick,mocoso,piqûre,0,velet,offensive,1,0
cagar,take a dump,cagar,faire une vidange,Scheißen gehen,sıçıp batırmak,swear words,0,0
delinquente,juvie,delincuente,juvénile,0,çocuk suçlu,offensive,1,0
chifruda,cuckold / cuck,cornuda,cocufié,0,boynuzlu,offensive,0,0
chifrudo,cuckold / cuck,cornudo,cocufié,0,boynuzlu,offensive,0,0
assaltante,robber,asaltante,voleur,Einbrecher,kapkaçcı,offensive,1,0
bozoloide,0,bozoloide,0,0,0,offensive/Brazil,1,partyism
ustra,0,0,0,0,0,offensive/Brazil,1,apology  to  dictatorship
saudade do regime militar,dicatorship widow,necesidad del régimen militar,veuve du dicacteur,0,diktatör dulu,offensive,1,apology  to  dictatorship
pobre de direita,white trash,pobre de derecha,poubelle blanche,weißer Müll,beyaz çöp,offensive,1,partyism
canhotinha,lefitst,zurdo,0,Linker,solcu,offensive,0,partyism
baitola,faggot,remilgado,pédé,Schwuchtel,ibne,offensive,1,homophobia
boiola,faggot,marica,pédé,Schwuchel,ibne,offensive,1,homophobia
burra,dumb bitch,burra,sale garce,dumme Bitch,aptal kaltak,offensive,0,0
cagona,coward,cagona,lâche,Angsthase/ Feigling,korkak,offensive,0,0
cagão,coward,cagón,lâche,Angsthase/ Feigling,korkak,offensive,0,0
cuzão,asshole,estupido,trou du cul,Arschloch,dallama,offensive,1,0
cusão,asshole,estupido,trou du cul,Arschloch,dallama,offensive,1,0
cuzuda,asshole,estupido,trou du cul,Arschloch,dallama,offensive,1,0
cuzudo,asshole,estupido,trou du cul,Arschloch,dallama,offensive,1,0
égua,bitch,yegua,salope,Schlampe,sürtük,offensive,0,0
fedida,stinky,apestosa,puant,stinkend,kokuşmuş,offensive,0,0
fedido,stinky,apestoso,puant,stinkend,kokuşmuş,offensive,0,0
fedorenta,stinky,apestosa,puant,stinkend,kokmuş,offensive,0,0
fedorento,stinky,apestoso,puant,stinkend,kokmuş,offensive,0,0
macaca,monkey,mona,singe,Affe,maymun,offensive,0,racism
macaco,monkey,mono,singe,Affe,maymun,offensive,0,racism
machona,butch,machona,0,0,kaslı lezbiyen,offensive,1,sexism
mocreia,ugly bitch,perra fea,sale pute,hässliche Schlampe,çirkin orospu,offensive,1,0
mocrea,ugly bitch,perra fea,sale pute,hässliche Schlampe,çirkin orospu,offensive,1,0
paspalho,wimp,0,mauviette,Schwächling,pısırık,offensive,1,0
paspalha,wimp,0,mauviette,Schwächling,pısırık,offensive,1,0
rabuda,fat ass,rabona,gros cul,fettarsch,koca göt,offensive,0,sexism
rabudo,fat ass,rabón,gros cul,fettarsch,koca göt,offensive,0,0
sacana,perv,bastardo,pervers,Perverser,şerefsiz,offensive,0,0
testuda,bloated puss,0,chatte gonflée,0,şişmiş amcık,offensive,0,sexism
viado,faggot,marica,pédé,Schwuchtel,ibne,offensive,0,homophobia
viadinho,faggot,mariquita,pédé,Schwuchtel,ibne,offensive,0,homophobia
viadão,faggot,maricón,pédé,Schwuchtel,ibne,offensive,0,homophobia
família biroliro,0,0,0,0,0,offensive/Brazil,0,partyism
fim da picada,last drop of water,caer más bajo,dernière goutte d'eau,0,son damla su,offensive,0,0
pernicioso,dangerous,peligroso,dangereux,gefährlich,kötü niyetli,offensive,0,0
perniciosa,dangerous,peligrosa,dangereux,gefährlich,kötü niyetli,offensive,0,0
besta,beast,bestia,bête,Biest / Ungeheuer,öküz,offensive,0,0
evanjegue,blind sheep,0,moutons aveugles,0,kör koyun,offensive,1,religious intolerance
chauvinista,army bootlicker,0,lèche-bottes de l'armée,0,şövenist,swear words,1,partyism
veadão,faggot,venadazo,pédé,Schwuchtel,ibne,offensive,0,homophobia
veadinho,faggot,venadito,pédé,Schwuchtel,ibne,offensive,0,homophobia
veado,faggot,venado,pédé,Schwuchtel,ibne,offensive,0,homophobia
petzadas,libtard,0,libido,0,0,offensive,0,partyism
filhodeputa,sonovabitch,hijo de puta,0,0,orospu çocuğu,swear words,1,0
filho de puta,motherfucker,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
misogenia,misogeny,misoginia,misogénie,Misogyn,kadın düşmanı,offensive,0,0
ridiculamente,pathetically,ridiculamente,pathétiquement,erbärmlich,aptalca,offensive,0,0
chata do caralho,fucking annoying,jodidamente aburrida,putain d'ennuyeux,verdammt nervig,lanet sıkıcı,swear words,1,0
babava ovo,kiss(ed) [someone's] ass,lambe huevo,embrasser le cul de quelqu'un,jemanden in den Arsch kriechen,kıç yalayan,offensive,0,0
cadeia para ele,lock him up,prisión para él,le mettre sous les verrous,sperrt ihn weg,hapislik kimse,offensive,1,0
cadeia pra ele,lock him up,prisión para él,le mettre sous les verrous,sperrt ihn weg,hapislik kimse,offensive,1,0
cadeia para ela,lock her up,prisión para ella,le mettre sous les verrous,sperrt sie weg,hapislik kimse,offensive,1,0
cadeia pra ela,lock her up,prisión para ella,le mettre sous les verrous,sperrt sie weg,hapislik kimse,offensive,1,0
mizerável,miserable,miserable,misérable,miserabel,acınası,offensive,1,0
bolsoburro,0,bolsoburro,0,0,0,offensive/Brazil,1,partyism
bolsorato,0,bolsorata,0,0,0,offensive/Brazil,1,partyism
maldita,fucker,maldita,enculé,Fucker,lanet etmek,offensive,0,0
bolsolixo,0,bolsobasura,0,0,0,offensive/Brazil,1,partyism
bozoenganador,0,bozoengañador,0,0,0,offensive/Brazil,1,partyism
trairagem,backlash,traición,contrecoup,Gegenreaktion,laçkalık,offensive,1,0
pastor de bosta,fucking preacher,pastor de mierda,putain de prédicateur,Scheiß Pastor,boktan papaz,swear words,1,religious intolerance
boneco assassino,chucky,chucky,mandrin,0,katil bebek,offensive,0,0
fdp,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
sfd,fuck you,vete a la mierda,Va te faire foutre !,Fick dich,sikerim seni,offensive,0,0
pnc,fucker,cabrón,enculé,Fucker,sikici,swear words,1,0
fdps,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
fdpta,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
fdputa,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
fdap,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
gosma,gunge,porquería,canon,0,sülük gibi,offensive,0,0
Iscrota,obnoxious,odiosa,odieux,widerlich,iğrenç,offensive,1,0
lodo,mud,lodo,boue,Dreck,lağım çukuru,offensive,0,0
iscroto,obnoxious,odioso,odieux,widerlich,iğrenç,offensive,1,0
mondronga,ugly,fea,laid,hässlich ,çirkin,offensive,1,0
mondrongo,ugly,fea,laid,hässlich,çirkin,offensive,1,0
naba,dick,polla,bite,Pimmel,yarrak,offensive,1,0
piroca,dick,polla,bite,Pimmel,yarrak,offensive,0,0
piroco,dick,polla,bite,Pimmel,yarrak,offensive,0,0
punheta,jerk off,paja,s'astiquer,wichsen,mastürbasyon,offensive,1,0
punhetão,jerk circle,hacerse una paja,cercle des secousses,0,otuz bir çekmek,offensive,1,0
rola,cock,verga,bite,Schwanz,sik,offensive,0,0
siririca,buffin' the muffin,pajear,0,0,otuz bir çekmek,offensive,1,0
xota,pussy,coño,chatte,Pussy ,am,offensive,1,0
xaninha,pussy,coño,chatte,Pussy,am,offensive,1,0
xibunga,faggot,maricona,pédé,Schwuchtel,ibne,offensive/Brazil,1,0
vagina,pussy,vagina,chatte,Vagina / Scheide,am,offensive,0,0
troxa,dumb,tonta,stupide,dumm,aptal,offensive,0,0
trolha,open wound,0,plaie ouverte,offene Wunde,açık yara,offensive,0,0
tezudo,stud,cachondo,goujon,0,azgın,offensive,0,0
tezuda,hottie,cachonda,chaudasse,hottie,azgın,offensive,0,0
pustula,open wound,0,plaie ouverte,offene Wunde,çürümek,offensive,1,0
tomar no cu,fuck it,tomar por el culo,Putain !,scheiß drauf / fuck it,siktir et,swear words,1,0
toomar no c,fuck it,tomar por el culo,Putain !,scheiiß drauf / fuck it,siktir et,swear words,1,0
raça maldita,fucking race,raza maldita,putain de course,0,lanet yarış,swear words,1,0
máfia,mafia,mafia,mafia,Mafia,mafya,offensive,1,0
ptzada,0,0,0,0,0,offensive/Brazil,1,partyism
coitadinho,poor thing,pobrecito,La pauvre.,armes Ding,zavallı küçük şey,offensive,0,0
coitadinha,poor thing,pobrecita,La pauvre.,armes Ding,zavallı küçük şey,offensive,0,0
anormal,abnormal,anormal,anormal,abartig,anormal,offensive,0,0
o tal,full of himself,el tal,imbu de sa personne,von sich selbst überzeugt,0,offensive,0,0
a tal,full of herself,la tal,imbu de sa personne,von sich selbst überzeugt,,offensive,0,0
retrógrada,obsolete,retrógrada,obsolète,veraltet,eskimiş,offensive,0,0
retrógrado,obsolete,retrógrado,obsolète,veraltet,eskimiş,offensive,0,0
em cana,jail,en cana,prison,Knast,kodese tıkmak,offensive,0,0
enjoado,obnoxious,enojado,odieux,widerlich,sersem,offensive,0,0
enjoada,obnoxious,enojada,odieux,widerlich,sersem,offensive,0,0
incompetente,incompetent,incompetente,incompétent,inkompetent,beceriksiz,offensive,0,0
phoder,fuck,joder,putain de,Fuck,sikik,offensive,0,0
asco,aversion,asco,aversion,Abneigung,iğrendirmek,offensive,0,0
horrível,horrible,horrible,horrible,schrecklich,korkunç,offensive,1,0
teatrinho,scene,teatrito,scène,Szene,küçük tiyatro,offensive,0,0
imundice,dirtbag,inmundicia,sac à merde,Drecksack,pislik,offensive,0,0
fdup,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu çocuğu,swear words,1,0
pastor do demo,devil pray,pastor de demostración,diable prier,Teufelsanbetung,şeytan duası,offensive,1,0
patético,pathetic,patético,pathétique,mitleiderregend,ezik,offensive,0,0
patética,pathetic,patética,pathétique,mitleiderregend,ezik,offensive,0,0
medíocre,mediocre,mediocre,médiocre,mittelmäßig,vasat,offensive,1,0
inferniano,hellish,infernal,infernal,höllisch,cehennem gibi,offensive,1,partyism
quadrilha,gang,cuadrilla,gang,Gang,çete,offensive,0,0
ostracismo,ostracism,ostracismo,ostracisme,0,dışlama,offensive,0,0
vaidosa,vain,vanidosa,vaniteux,eitel,kendini beğenmiş,offensive,0,0
vaidoso,vain,vanidoso,vaniteux,eitel,kendini beğenmiş,offensive,0,0
golpista,con,golpista,con,betrügerisch,internet dolandırıcısı,offensive,1,0
caroneiro,hitchhiker,autoestopista,auto-stoppeur,Anhalter,otostopçu,offensive,0,0
caroneira,hitchhiker,autoestopista,auto-stoppeur,Anhalter,otostopçu,offensive,0,0
pirralha,fucking kid,niña mimada,putain de gamin,Scheißkind,velet,offensive,0,0
safaneja,country camper slut,0,0,0,0,offensive/Brazil,1,sexism
escória,scorn,escoria,mépris,Verachtung,curuf yığını,offensive,0,0
petezada,0,0,0,0,0,offensive/Brazil,1,partyism
bozzolóide,0,0,0,0,0,offensive/Brazil,1,partyism
pretalhas,0,0,0,0,0,offensive/Brazil,1,partyism
Bolosolixo,0,0,0,0,0,offensive/Brazil,1,partyism
judeu dos infernos,fucking jew,judeo de los infiernos,putain de juif,Scheiß Juden,cehennem yahudisi,offensive,1,antisemitism
puta,whore,puta,pute,Hure,fahişe,offensive,1,sexism
comunistinhas,commie,comunistas,communiste,Kommunist,küçük komünistler,offensive,1,partyism
lavagem cerebral,brainwash,lavado cerebral,lavage de cerveau,Gehirnwäsche,beyin yıkama,offensive,1,0
colonialista,colonialist,colonialista,colonialiste,Kolonist,sömürgeci,offensive,0,0
sair do armário,come out (of the closet),salir del closet,sortir (du placard),sich outen,0,offensive,0,homophobia
pqp,holy shit,0,Putain de merde,heilige Scheiße,lanet bok,swear words,1,0
acabado,wrecked,acabado,épave,zerstört,mahvolmuş,offensive,0,0
acabada,wrecked,acabada,épave,zerstört,mahvolmuş,offensive,0,0
pequenez,pettiness,pequeñez,mesquinerie,Kleinlichkeit,dar görüşlülük,offensive,0,0
culpado,guilty,culpable,coupable,schuldig,suçlu,offensive,0,0
culpada,guilty,culpable,coupable,schuldig,suçlu,offensive,0,0
